n,Seed,Method,Distance,Time (s),Generations
50,42,Delayed 2-Opt GA,673.29,27.12,392
50,42,Parallel GA,687.81,1.16,405
50,123,Delayed 2-Opt GA,628.49,26.77,387
50,123,Parallel GA,654.85,1.05,400
100,42,Delayed 2-Opt GA,900.63,115.50,919
100,42,Parallel GA,906.79,1.58,400
100,123,Delayed 2-Opt GA,904.56,107.89,857
100,123,Parallel GA,878.79,1.56,400
200,42,Delayed 2-Opt GA,1191.51,223.85,933
200,42,Parallel GA,1188.24,3.33,500
200,123,Delayed 2-Opt GA,1141.54,225.19,941
200,123,Parallel GA,1123.52,3.19,500
500,42,Delayed 2-Opt GA,1929.70,662.58,999
500,42,Parallel GA,1896.14,6.69,400
500,123,Delayed 2-Opt GA,1819.37,662.58,999
500,123,Parallel GA,1799.38,6.65,400
1000,42,Delayed 2-Opt GA,2635.54,1315.68,999
1000,42,Parallel GA,2586.17,13.73,400
1000,123,Delayed 2-Opt GA,2617.19,1312.78,999
1000,123,Parallel GA,2565.52,16.94,503

