version,k,delta_thresh,final_cost,time_ms
sequential,,,8689.75,0.652
prototype,,,8998.21,0.616
topk,2,,8413.43,103.94
topk,3,,8545.99,71.61
topk,5,,8776.58,58.55
topk,10,,28002.63,2000.00
topk++,2,1e-6,8725.25,99.46
topk++,2,1e-5,8725.25,88.73
topk++,2,1e-4,8725.25,90.14
topk++,3,1e-6,8560.91,64.00
topk++,3,1e-5,8560.91,65.16
topk++,3,1e-4,8560.91,67.65
topk++,5,1e-6,34927.36,20.51
topk++,5,1e-5,34927.36,20.13
topk++,5,1e-4,34927.36,20.68
topk++,10,1e-6,24837.54,36.52
topk++,10,1e-5,24837.54,37.09
topk++,10,1e-4,24837.54,39.08
