version,k,delta_thresh,final_cost,time_ms
sequential,,,12656.14,2.50
parallel,,,11703.85,427.25
topk,2,,11846.80,369.40
topk,3,,11864.62,1840.00
topk,5,,12079.90,211.81
topk,10,,11834.17,184.74
topk++,2,1e-6,11846.80,386.64
topk++,2,1e-5,11846.80,371.67
topk++,2,1e-4,11846.80,379.53
topk++,3,1e-6,12234.86,249.35
topk++,3,1e-5,12234.86,250.34
topk++,3,1e-4,12234.86,255.12
topk++,5,1e-6,19947.99,158.68
topk++,5,1e-5,19947.99,157.99
topk++,5,1e-4,19947.99,157.92
topk++,10,1e-6,11834.17,186.19
topk++,10,1e-5,11834.17,186.98
topk++,10,1e-4,11834.17,182.16
